epoch: 20, nrg_mae: 2.389514446258545 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.375391960144043 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.377124786376953 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.4001400470733643 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.414341688156128 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.4135749340057373 meV/atom, force_mae: 0 meV/AA
epoch: 20, nrg_mae: 2.4206161499023438 meV/atom, force_mae: 0 meV/AA
validation: epoch: 20, nrg_mae: 3.748528242111206 meV/atom, force_mae: 0 meV/AA
test: epoch: 20, nrg_mae: 3.748528242111206 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.4206161499023438 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.4194955825805664 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.4159789085388184 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.410360097885132 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.410694122314453 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.415287494659424 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.4119019508361816 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.388946294784546 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.3471672534942627 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.3244221210479736 meV/atom, force_mae: 0 meV/AA
epoch: 21, nrg_mae: 2.2914090156555176 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.2914090156555176 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.306004285812378 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.3052175045013428 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.3031632900238037 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.3024439811706543 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.301299571990967 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.2936224937438965 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.276793956756592 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.244659185409546 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.2199153900146484 meV/atom, force_mae: 0 meV/AA
epoch: 22, nrg_mae: 2.1363298892974854 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 2.1363298892974854 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 2.1420717239379883 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 2.1189451217651367 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 2.0728707313537598 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 2.0546040534973145 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 2.0439822673797607 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9850411415100098 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9717493057250977 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9163250923156738 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9324699640274048 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9122838973999023 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9359350204467773 meV/atom, force_mae: 0 meV/AA
epoch: 23, nrg_mae: 1.9109050035476685 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.9109050035476685 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.9316354990005493 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.9087951183319092 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8914977312088013 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.9227981567382812 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8963416814804077 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8215935230255127 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8318374156951904 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8348019123077393 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8242955207824707 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.8227696418762207 meV/atom, force_mae: 0 meV/AA
epoch: 24, nrg_mae: 1.81807279586792 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.81807279586792 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.8169164657592773 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.8045227527618408 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.8098989725112915 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.807371735572815 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.8009703159332275 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.7885327339172363 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.7874400615692139 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.7736554145812988 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.7729600667953491 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.782433271408081 meV/atom, force_mae: 0 meV/AA
epoch: 25, nrg_mae: 1.7722089290618896 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.7722089290618896 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.7731388807296753 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.7515698671340942 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.723202109336853 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.7196178436279297 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.7244141101837158 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.702479600906372 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.697385311126709 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.6916791200637817 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.6646027565002441 meV/atom, force_mae: 0 meV/AA
epoch: 26, nrg_mae: 1.6726930141448975 meV/atom, force_mae: 0 meV/AA
epoch: 27, nrg_mae: 1.6726930141448975 meV/atom, force_mae: 0 meV/AA
